Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2014-08-21,989.620361328125,1000.8288506385676,988.6236207527314,995.5399176880386,2265450
2014-08-22,1002.537353515625,1004.164717160428,990.9831113680813,994.3191869746486,3096238
2014-08-25,1026.0736083984375,1028.6977136084013,1003.6362623064283,1004.8975094375129,3143512
2014-08-26,1030.853759765625,1037.4445641904929,1017.1025139122479,1028.90090307363,1815490
2014-08-27,1037.4244384765625,1044.523795774774,1022.8188827819449,1030.9353428256434,1435460
2014-08-28,1026.195556640625,1037.1599030134612,1022.3915531131546,1036.224148738243,1766288
2014-09-01,1032.21630859375,1041.5126625190553,1026.4799117280518,1027.4359282091411,810148
2014-09-02,1032.52197265625,1039.3976467402088,1022.8392340809118,1035.7360768944775,1407940
2014-09-03,1060.39013671875,1064.2958492907426,1032.9690983750747,1032.9690983750747,3061690
2014-09-04,1051.5826416015625,1068.9547384966502,1048.6126814001889,1066.737474138426,1701598
2014-09-05,1057.217041015625,1066.6557321600449,1050.8906437278906,1057.7458548438306,1467060
2014-09-08,1075.1588134765625,1078.128772980625,1057.4002415314337,1062.6688132171291,1697342
2014-09-09,1070.5006103515625,1085.0451792142962,1067.99857739666,1078.942562908254,1418098
2014-09-10,1057.84765625,1075.17912372465,1054.20644892492,1073.2466288470823,1258768
2014-09-11,1057.1151123046875,1067.7132384896775,1054.3282123562485,1061.8547691490676,1075622
2014-09-12,1060.878662109375,1067.6932490570834,1055.020091943553,1061.8550408071358,1196210
2014-09-15,1040.8212890625,1065.3538197875687,1039.0718529999199,1063.4823115668717,1151544
2014-09-16,1037.7904052734375,1047.6155756994308,1035.0035046910104,1043.9540066969862,1535608
2014-09-17,1054.206298828125,1059.7190138224187,1041.9197214316976,1041.9197214316976,1657700
2014-09-18,1074.99609375,1078.8610836080422,1050.056718274401,1054.4098975123843,1483078
2014-09-19,1104.24755859375,1114.744073752022,1074.8736652747598,1075.2805061775891,3587864
2014-09-22,1107.3402099609375,1112.3036518926817,1088.8085765829517,1104.1668292745935,999584
2014-09-23,1093.669921875,1132.0146849168204,1091.6764407683777,1108.2348490813665,2055990
2014-09-24,1075.28076171875,1101.2982237724657,1071.110641473719,1095.6228116945115,2442132
2014-09-25,1101.9698486328125,1108.6420029751878,1082.197331344587,1082.5838105262076,2473158
2014-09-26,1091.961181640625,1108.6009378598008,1086.3061317941383,1102.5390470365476,1612712
2014-09-29,1126.115478515625,1129.1667858867324,1088.4217011884427,1096.5991453471636,2089534
2014-09-30,1113.361328125,1129.655233754913,1101.7866200535982,1128.149941639253,2788954
2014-10-01,1129.228271484375,1139.9688375032918,1113.5241642564274,1119.62678115955,2142022
2014-10-07,1111.224853515625,1155.306002323555,1108.8855185057346,1114.5812907037287,3457674
2014-10-08,1091.6353759765625,1114.7235947876925,1077.8231486411717,1113.9302749757583,1962442
2014-10-09,1100.9327392578125,1107.9507505323718,1092.9789732813508,1101.726059797468,1685176
2014-10-10,1089.7235107421875,1109.6383558576158,1085.6551011444942,1100.9116371358446,2344362
2014-10-13,1105.203857421875,1108.560295425903,1086.2653903944724,1090.3338000963245,2209532
